order_purchase_timestamp,daily_revenue,num_orders,day_of_week,month,day
2017-09-22,16255.12,136,4,9,22
2017-09-23,10513.5,85,5,9,23
2017-09-24,13049.75,113,6,9,24
2017-09-25,17987.1,133,0,9,25
2017-09-26,21681.9,179,1,9,26
2017-09-27,20646.920000000002,144,2,9,27
2017-09-28,23264.52,142,3,9,28
2017-09-29,30878.56,116,4,9,29
2017-09-30,12685.49,109,5,9,30
2017-10-01,18821.27,128,6,10,1
2017-10-02,21764.65,142,0,10,2
2017-10-03,26118.57,198,1,10,3
2017-10-04,21197.7,157,2,10,4
2017-10-05,25517.52,140,3,10,5
2017-10-06,17084.670000000002,126,4,10,6
2017-10-07,15376.02,103,5,10,7
2017-10-08,16539.010000000002,124,6,10,8
2017-10-09,30337.79,191,0,10,9
2017-10-10,28151.13,180,1,10,10
2017-10-11,22669.37,156,2,10,11
2017-10-12,18754.23,140,3,10,12
2017-10-13,22881.19,151,4,10,13
2017-10-14,13528.82,116,5,10,14
2017-10-15,18751.85,120,6,10,15
2017-10-16,30580.16,194,0,10,16
2017-10-17,29675.77,197,1,10,17
2017-10-18,27257.79,176,2,10,18
2017-10-19,23223.71,175,3,10,19
2017-10-20,18626.2,120,4,10,20
2017-10-21,14982.45,110,5,10,21
2017-10-22,19786.81,157,6,10,22
2017-10-23,22278.1,158,0,10,23
2017-10-24,22071.27,164,1,10,24
2017-10-25,17507.06,154,2,10,25
2017-10-26,22573.15,143,3,10,26
2017-10-27,20377.58,131,4,10,27
2017-10-28,16483.61,86,5,10,28
2017-10-29,17267.75,130,6,10,29
2017-10-30,20221.23,144,0,10,30
2017-10-31,23813.0,157,1,10,31
2017-11-01,19383.61,109,2,11,1
2017-11-02,21263.73,121,3,11,2
2017-11-03,22844.05,138,4,11,3
2017-11-04,19169.07,111,5,11,4
2017-11-05,17327.44,141,6,11,5
2017-11-06,28600.29,190,0,11,6
2017-11-07,20829.71,157,1,11,7
2017-11-08,19240.51,174,2,11,8
2017-11-09,25053.34,188,3,11,9
2017-11-10,20223.84,164,4,11,10
2017-11-11,23292.07,155,5,11,11
2017-11-12,23087.26,172,6,11,12
2017-11-13,24391.97,202,0,11,13
2017-11-14,27049.68,189,1,11,14
2017-11-15,23711.29,185,2,11,15
2017-11-16,28268.82,224,3,11,16
2017-11-17,29209.07,189,4,11,17
2017-11-18,23233.3,146,5,11,18
2017-11-19,19955.56,158,6,11,19
2017-11-20,44284.47,226,0,11,20
2017-11-21,34316.64,226,1,11,21
2017-11-22,24962.57,198,2,11,22
2017-11-23,44712.88,277,3,11,23
2017-11-24,152653.74,1166,4,11,24
2017-11-25,60923.48,498,5,11,25
2017-11-26,45315.28,388,6,11,26
2017-11-27,47923.66,400,0,11,27
2017-11-28,47886.55,376,1,11,28
2017-11-29,39834.75,319,2,11,29
2017-11-30,31322.74,264,3,11,30
2017-12-01,39981.91,274,4,12,1
2017-12-02,31208.13,214,5,12,2
2017-12-03,29262.920000000002,231,6,12,3
2017-12-04,47348.52,331,0,12,4
2017-12-05,33632.37,275,1,12,5
2017-12-06,39198.74,273,2,12,6
2017-12-07,28055.78,226,3,12,7
2017-12-08,29847.46,215,4,12,8
2017-12-09,20027.04,155,5,12,9
2017-12-10,24695.79,187,6,12,10
2017-12-11,33990.39,267,0,12,11
2017-12-12,33468.71,258,1,12,12
2017-12-13,29601.28,218,2,12,13
2017-12-14,25286.23,199,3,12,14
2017-12-15,27382.2,192,4,12,15
2017-12-16,20296.28,131,5,12,16
2017-12-17,19312.41,133,6,12,17
2017-12-18,29162.11,208,0,12,18
2017-12-19,20615.99,174,1,12,19
2017-12-20,27958.53,171,2,12,20
2017-12-21,18572.22,143,3,12,21
2017-12-22,14935.3,110,4,12,22
2017-12-23,12875.05,107,5,12,23
2017-12-24,5759.01,59,6,12,24
2017-12-25,10381.34,90,0,12,25
2017-12-26,20549.43,168,1,12,26
2017-12-27,17700.4,166,2,12,27
2017-12-28,15037.49,146,3,12,28
2017-12-29,16042.72,133,4,12,29
2017-12-30,13042.65,96,5,12,30
2017-12-31,8685.77,74,6,12,31
2018-01-01,6948.21,73,0,1,1
2018-01-02,25315.0,203,1,1,2
2018-01-03,31886.72,222,2,1,3
2018-01-04,34839.44,255,3,1,4
2018-01-05,27720.39,209,4,1,5
2018-01-06,27609.670000000002,215,5,1,6
2018-01-07,29433.01,195,6,1,7
2018-01-08,38714.4,292,0,1,8
2018-01-09,30248.91,251,1,1,9
2018-01-10,38479.53,277,2,1,10
2018-01-11,40056.96,264,3,1,11
2018-01-12,30988.94,239,4,1,12
2018-01-13,28091.91,216,5,1,13
2018-01-14,30962.53,232,6,1,14
2018-01-15,38330.3,305,0,1,15
2018-01-16,44237.17,301,1,1,16
2018-01-17,36089.22,282,2,1,17
2018-01-18,27774.77,238,3,1,18
2018-01-19,29954.78,232,4,1,19
2018-01-20,22381.68,184,5,1,20
2018-01-21,23829.829999999998,194,6,1,21
2018-01-22,37137.64,310,0,1,22
2018-01-23,34746.17,262,1,1,23
2018-01-24,31700.17,243,2,1,24
2018-01-25,29634.42,232,3,1,25
2018-01-26,33995.0,228,4,1,26
2018-01-27,22031.08,153,5,1,27
2018-01-28,24100.75,155,6,1,28
2018-01-29,30481.32,246,0,1,29
2018-01-30,29588.85,257,1,1,30
2018-01-31,32721.59,255,2,1,31
2018-02-01,30362.15,232,3,2,1
2018-02-02,27731.6,212,4,2,2
2018-02-03,23448.66,193,5,2,3
2018-02-04,23989.79,201,6,2,4
2018-02-05,37360.84,271,0,2,5
2018-02-06,34119.38,267,1,2,6
2018-02-07,31306.23,246,2,2,7
2018-02-08,27314.73,229,3,2,8
2018-02-09,30743.07,211,4,2,9
2018-02-10,21248.16,176,5,2,10
2018-02-11,22504.98,170,6,2,11
2018-02-12,23310.73,215,0,2,12
2018-02-13,23638.34,222,1,2,13
2018-02-14,37079.65,294,2,2,14
2018-02-15,32279.91,281,3,2,15
2018-02-16,26894.99,212,4,2,16
2018-02-17,24952.760000000002,202,5,2,17
2018-02-18,24592.43,202,6,2,18
2018-02-19,28190.63,259,0,2,19
2018-02-20,36568.57,288,1,2,20
2018-02-21,32401.69,265,2,2,21
2018-02-22,32718.71,278,3,2,22
2018-02-23,28424.7,235,4,2,23
2018-02-24,24263.510000000002,190,5,2,24
2018-02-25,29203.77,237,6,2,25
2018-02-26,43750.96,296,0,2,26
2018-02-27,40267.2,298,1,2,27
2018-02-28,45510.57,312,2,2,28
2018-03-01,39651.51,275,3,3,1
2018-03-02,31776.46,265,4,3,2
2018-03-03,26394.97,212,5,3,3
2018-03-04,32441.9,235,6,3,4
2018-03-05,38323.07,262,0,3,5
2018-03-06,39173.99,271,1,3,6
2018-03-07,36137.89,258,2,3,7
2018-03-08,28156.39,234,3,3,8
2018-03-09,28405.44,203,4,3,9
2018-03-10,26203.91,192,5,3,10
2018-03-11,31320.43,218,6,3,11
2018-03-12,30644.66,232,0,3,12
2018-03-13,36074.24,227,1,3,13
2018-03-14,23528.79,198,2,3,14
2018-03-15,44311.46,286,3,3,15
2018-03-16,32832.19,252,4,3,16
2018-03-17,20078.5,180,5,3,17
2018-03-18,31119.33,215,6,3,18
2018-03-19,44645.19,302,0,3,19
2018-03-20,35749.47,297,1,3,20
2018-03-21,39714.43,285,2,3,21
2018-03-22,31119.41,254,3,3,22
2018-03-23,29621.24,219,4,3,23
2018-03-24,23787.77,165,5,3,24
2018-03-25,25557.29,190,6,3,25
2018-03-26,35779.01,271,0,3,26
2018-03-27,34732.56,245,1,3,27
2018-03-28,29713.34,219,2,3,28
2018-03-29,28926.73,194,3,3,29
2018-03-30,22088.14,165,4,3,30
2018-03-31,25203.73,167,5,3,31
2018-04-01,29396.66,207,6,4,1
2018-04-02,40279.1,281,0,4,2
2018-04-03,36246.51,246,1,4,3
2018-04-04,37982.73,257,2,4,4
2018-04-05,36058.79,266,3,4,5
2018-04-06,27784.74,189,4,4,6
2018-04-07,25517.38,164,5,4,7
2018-04-08,23463.85,185,6,4,8
2018-04-09,49308.73,253,0,4,9
2018-04-10,27870.56,201,1,4,10
2018-04-11,40782.96,274,2,4,11
2018-04-12,34117.58,255,3,4,12
2018-04-13,31150.36,202,4,4,13
2018-04-14,18845.7,146,5,4,14
2018-04-15,30524.04,223,6,4,15
2018-04-16,40412.26,280,0,4,16
2018-04-17,36682.97,265,1,4,17
2018-04-18,39472.71,280,2,4,18
2018-04-19,43287.21,292,3,4,19
2018-04-20,28353.84,196,4,4,20
2018-04-21,18966.34,156,5,4,21
2018-04-22,27350.9,200,6,4,22
2018-04-23,37674.27,285,0,4,23
2018-04-24,43083.77,271,1,4,24
2018-04-25,40995.02,284,2,4,25
2018-04-26,31631.36,254,3,4,26
2018-04-27,40752.54,242,4,4,27
2018-04-28,23560.56,169,5,4,28
2018-04-29,19411.7,171,6,4,29
2018-04-30,35682.61,240,0,4,30
2018-05-01,33163.8,255,1,5,1
2018-05-02,38557.72,295,2,5,2
2018-05-03,42497.77,304,3,5,3
2018-05-04,39730.93,265,4,5,4
2018-05-05,28306.45,197,5,5,5
2018-05-06,28565.97,210,6,5,6
2018-05-07,54167.48,371,0,5,7
2018-05-08,47800.69,327,1,5,8
2018-05-09,43589.12,342,2,5,9
2018-05-10,51458.67,279,3,5,10
2018-05-11,37859.19,246,4,5,11
2018-05-12,29604.14,204,5,5,12
2018-05-13,31313.52,206,6,5,13
2018-05-14,53842.38,364,0,5,14
2018-05-15,41119.85,352,1,5,15
2018-05-16,56283.73,357,2,5,16
2018-05-17,31488.47,227,3,5,17
2018-05-18,31621.52,236,4,5,18
2018-05-19,25201.29,139,5,5,19
2018-05-20,19586.54,161,6,5,20
2018-05-21,25404.06,204,0,5,21
2018-05-22,27793.91,199,1,5,22
2018-05-23,17501.05,132,2,5,23
2018-05-24,20073.26,114,3,5,24
2018-05-25,15888.92,103,4,5,25
2018-05-26,14799.17,99,5,5,26
2018-05-27,12523.25,100,6,5,27
2018-05-28,26877.47,143,0,5,28
2018-05-29,25572.08,149,1,5,29
2018-05-30,19214.0,140,2,5,30
2018-05-31,25111.28,133,3,5,31
2018-06-01,32298.920000000002,184,4,6,1
2018-06-02,25266.62,142,5,6,2
2018-06-03,28461.66,191,6,6,3
2018-06-04,28622.4,225,0,6,4
2018-06-05,30709.36,197,1,6,5
2018-06-06,26134.4,227,2,6,6
2018-06-07,37020.4,223,3,6,7
2018-06-08,26870.41,198,4,6,8
2018-06-09,29325.079999999998,172,5,6,9
2018-06-10,25501.97,193,6,6,10
2018-06-11,49669.7,294,0,6,11
2018-06-12,40369.0,246,1,6,12
2018-06-13,34616.96,259,2,6,13
2018-06-14,27504.6,212,3,6,14
2018-06-15,26617.56,186,4,6,15
2018-06-16,24616.05,165,5,6,16
2018-06-17,17316.33,152,6,6,17
2018-06-18,34718.3,246,0,6,18
2018-06-19,34630.33,231,1,6,19
2018-06-20,28793.99,217,2,6,20
2018-06-21,27703.58,234,3,6,21
2018-06-22,24807.27,179,4,6,22
2018-06-23,17501.92,151,5,6,23
2018-06-24,24432.6,199,6,6,24
2018-06-25,36135.52,240,0,6,25
2018-06-26,30957.57,242,1,6,26
2018-06-27,26496.48,214,2,6,27
2018-06-28,32171.97,243,3,6,28
2018-06-29,20473.48,174,4,6,29
2018-06-30,15379.880000000001,124,5,6,30
2018-07-01,24369.47,161,6,7,1
2018-07-02,23158.62,195,0,7,2
